Date,Mean_Surface_Solar_Radiation_Jm2,Variance_Surface_Solar_Radiation_Jm2
2023-12-31,0.0,0.0
2024-01-01,0.0,0.0
2024-01-02,0.0,0.0
2024-01-03,0.0,0.0
2024-01-04,0.0,0.0
2024-01-05,0.0,0.0
2024-01-06,0.0,0.0
2024-01-07,0.0,0.0
2024-01-08,0.0,0.0
2024-01-09,0.0,0.0
2024-01-10,0.0,0.0
2024-01-11,0.0,0.0
2024-01-12,0.0,0.0
2024-01-13,0.0,0.0
2024-01-14,0.0,0.0
2024-01-15,0.0,0.0
2024-01-16,0.0,0.0
2024-01-17,0.0,0.0
2024-01-18,0.0,0.0
2024-01-19,0.0,0.0
2024-01-20,0.0,0.0
2024-01-21,0.0,0.0
2024-01-22,0.0,0.0
2024-01-23,0.0,0.0
2024-01-24,0.0,0.0
2024-01-25,0.0,0.0
2024-01-26,0.0,0.0
2024-01-27,0.0,0.0
2024-01-28,0.0,0.0
2024-01-29,0.0,0.0
2024-01-30,0.0,0.0
2024-01-31,0.0,0.0
2024-02-01,0.0,0.0
2024-02-02,0.0,0.0
2024-02-03,0.0,0.0
2024-02-04,0.0,0.0
2024-02-05,0.0,0.0
2024-02-06,0.0,0.0
2024-02-07,0.0,0.0
2024-02-08,0.0,0.0
2024-02-09,0.0,0.0
2024-02-10,0.0,0.0
2024-02-11,0.0,0.0
2024-02-12,0.0,0.0
2024-02-13,0.0,0.0
2024-02-14,0.0,0.0
2024-02-15,0.0,0.0
2024-02-16,88.0,130325.33333333333
2024-02-17,552.0,3884309.3333333335
2024-02-18,1472.0,22506496.0
2024-02-19,1994.6666666666667,30140302.22222222
2024-02-20,4344.0,135413525.33333334
2024-02-21,5973.333333333333,221814328.88888893
2024-02-22,7733.333333333333,318139278.2222222
2024-02-23,9426.666666666666,445078350.22222227
2024-02-24,11674.666666666666,616398478.222222
2024-02-25,12682.666666666666,649228174.2222222
2024-02-26,14130.666666666666,804504910.2222223
2024-02-27,20002.666666666668,1532929016.888889
2024-02-28,21160.0,1599970922.6666667
2024-02-29,20050.666666666668,1262056611.5555563
2024-03-01,23346.666666666668,1749166414.2222223
2024-03-02,30458.666666666668,2762516451.5555553
2024-03-03,34128.0,3325904981.3333335
