Date,Mean_Surface_Solar_Radiation_Jm2,Variance_Surface_Solar_Radiation_Jm2
2023-12-31,112301.71428571429,19104868310.20408
2024-01-01,62357.333333333336,13632583907.555567
2024-01-02,50288.0,8280316672.0
2024-01-03,66594.66666666667,15831965347.555552
2024-01-04,107938.66666666667,39961774755.55555
2024-01-05,81440.0,26656031744.0
2024-01-06,82237.33333333333,24384524451.555553
2024-01-07,98837.33333333333,33229530680.8889
2024-01-08,102098.66666666667,37571563683.55554
2024-01-09,115792.0,45378500693.333336
2024-01-10,126304.0,52148597760.0
2024-01-11,120400.0,48161637120.0
2024-01-12,127434.66666666667,51423927182.22224
2024-01-13,106200.0,37052189290.666664
2024-01-14,115269.33333333333,45030947811.55555
2024-01-15,137994.66666666666,60325176547.55558
2024-01-16,140325.33333333334,60997812878.22219
2024-01-17,138394.66666666666,59758340750.22227
2024-01-18,147613.33333333334,66003373048.888916
2024-01-19,138400.0,57806400512.0
2024-01-20,130477.33333333333,50642174456.88889
2024-01-21,156674.66666666666,71868241059.55554
2024-01-22,170424.0,84682062613.33333
2024-01-23,158496.0,74716736512.0
2024-01-24,167125.33333333334,80800471950.22224
2024-01-25,175632.0,88801338112.0
2024-01-26,180781.33333333334,91967330808.88892
2024-01-27,164741.33333333334,78068131811.55551
2024-01-28,170760.0,81020491200.0
2024-01-29,198256.0,107632495701.33333
2024-01-30,201789.33333333334,111935488846.22221
2024-01-31,210184.0,116593414250.66667
2024-02-01,196978.66666666666,105380773539.55559
2024-02-02,169680.0,81226593706.66667
2024-02-03,170208.0,84784732501.33333
2024-02-04,204186.66666666666,109146622947.5555
2024-02-05,219397.33333333334,123423401272.8889
2024-02-06,246976.0,152296479402.66666
2024-02-07,255418.66666666666,160872224739.55557
2024-02-08,227648.0,128909726037.33333
2024-02-09,165786.66666666666,84687471928.88892
2024-02-10,196853.33333333334,106433297294.22221
2024-02-11,226400.0,123441482069.33333
2024-02-12,212733.33333333334,108393703928.88887
2024-02-13,188069.33333333334,83894939278.22218
2024-02-14,232008.0,130134375872.0
2024-02-15,260970.66666666666,156805782414.2222
2024-02-16,223360.0,122286818304.0
2024-02-17,261058.66666666666,162354936654.22226
2024-02-18,335504.0,247827337984.0
2024-02-19,358981.3333333333,277762474638.22235
2024-02-20,366304.0,286679543466.6667
2024-02-21,378637.3333333333,301704075939.5556
2024-02-22,385098.6666666667,310221144974.2221
2024-02-23,375064.0,288337029397.3333
2024-02-24,377802.6666666667,292477189347.5555
2024-02-25,366461.3333333333,286197531470.2222
2024-02-26,416202.6666666667,348277512419.5555
2024-02-27,411650.6666666667,330432593742.2222
2024-02-28,248933.33333333334,155492932238.2222
2024-02-29,255290.66666666666,134942763320.88885
2024-03-01,271373.3333333333,157674150222.2222
2024-03-02,342650.6666666667,240642340152.88892
2024-03-03,403549.3333333333,307595381411.5556
2024-03-04,404002.6666666667,305700188152.88885
2024-03-05,346824.0,236439771242.66666
2024-03-06,390146.6666666667,309345788067.55554
2024-03-07,376370.6666666667,292722941603.5556
2024-03-08,370400.0,301690198016.0
