Date,Mean_Surface_Solar_Radiation_Jm2,Variance_Surface_Solar_Radiation_Jm2
2023-12-31,0.0,0.0
2024-01-01,648.0,6062869.333333333
2024-01-02,754.6666666666666,7223288.888888902
2024-01-03,986.6666666666666,12128910.222222216
2024-01-04,1266.6666666666667,17914531.55555553
2024-01-05,1613.3333333333333,27895118.222222198
2024-01-06,1690.6666666666667,27955512.8888889
2024-01-07,2272.0,47701333.333333336
2024-01-08,2573.3333333333335,59632974.2222222
2024-01-09,3450.6666666666665,102746083.55555575
2024-01-10,3578.6666666666665,104444899.55555563
2024-01-11,2506.6666666666665,49702115.55555547
2024-01-12,4824.0,175394069.33333334
2024-01-13,5048.0,184460053.33333334
2024-01-14,6181.333333333333,260192227.55555543
2024-01-15,7210.666666666667,346405432.88888884
2024-01-16,8730.666666666666,494249955.55555576
2024-01-17,7749.333333333333,368696974.22222185
2024-01-18,8504.0,433800981.3333333
2024-01-19,11789.333333333334,814396067.5555545
2024-01-20,14525.333333333334,1192651939.5555542
2024-01-21,13378.666666666666,979615907.5555559
2024-01-22,11341.333333333334,631673507.5555562
2024-01-23,16000.0,1296456704.0
2024-01-24,17434.666666666668,1474701966.2222226
2024-01-25,15813.333333333334,1183920782.2222216
2024-01-26,15586.666666666666,1079230798.2222228
2024-01-27,20904.0,1952097898.6666667
2024-01-28,19994.666666666668,1686437176.8888905
2024-01-29,23976.0,2541216021.3333335
2024-01-30,22549.333333333332,2029985336.88889
2024-01-31,25642.666666666668,2645557134.222223
2024-02-01,22226.666666666668,1776021326.2222235
2024-02-02,27578.666666666668,2802792419.5555577
2024-02-03,36461.333333333336,4964783267.555553
2024-02-04,37994.666666666664,5020350008.888892
2024-02-05,54698.666666666664,11289969550.222223
2024-02-06,37408.0,4775543808.0
2024-02-07,35866.666666666664,4300764131.555551
2024-02-08,54997.333333333336,10462495630.22222
2024-02-09,51117.333333333336,8184288760.88889
2024-02-10,81722.66666666667,21732769422.222202
2024-02-11,86413.33333333333,22805952504.88888
2024-02-12,99000.0,29838259989.333332
2024-02-13,101253.33333333333,30353066979.555542
2024-02-14,106744.0,33898937792.0
2024-02-15,117152.0,39320053418.666664
2024-02-16,114581.33333333333,35890312419.555565
2024-02-17,125586.66666666667,45598536867.55557
2024-02-18,99984.0,26306845781.333332
