Date,Mean_Surface_Solar_Radiation_Jm2,Variance_Surface_Solar_Radiation_Jm2
2023-12-31,0.0,0.0
2024-01-01,0.0,0.0
2024-01-02,0.0,0.0
2024-01-03,0.0,0.0
2024-01-04,0.0,0.0
2024-01-05,0.0,0.0
2024-01-06,0.0,0.0
2024-01-07,0.0,0.0
2024-01-08,0.0,0.0
2024-01-09,0.0,0.0
2024-01-10,0.0,0.0
2024-01-11,0.0,0.0
2024-01-12,0.0,0.0
2024-01-13,0.0,0.0
2024-01-14,0.0,0.0
2024-01-15,0.0,0.0
2024-01-16,0.0,0.0
2024-01-17,0.0,0.0
2024-01-18,0.0,0.0
2024-01-19,0.0,0.0
2024-01-20,0.0,0.0
2024-01-21,0.0,0.0
2024-01-22,0.0,0.0
2024-01-23,0.0,0.0
2024-01-24,0.0,0.0
2024-01-25,0.0,0.0
2024-01-26,0.0,0.0
2024-01-27,0.0,0.0
2024-01-28,26.666666666666668,16355.555555555557
2024-01-29,181.33333333333334,536120.8888888889
2024-01-30,696.0,5972757.333333333
2024-01-31,1325.3333333333333,18157048.88888889
2024-02-01,2552.0,56066837.333333336
2024-02-02,3840.0,117555882.66666667
2024-02-03,5333.333333333333,213172451.5555555
2024-02-04,6810.666666666667,324401123.5555556
2024-02-05,8248.0,433962432.0
2024-02-06,7381.333333333333,314664163.5555556
2024-02-07,9397.333333333334,497808611.5555556
2024-02-08,12104.0,795110506.6666666
2024-02-09,15818.666666666666,1309697251.5555553
2024-02-10,19496.0,1830279445.3333333
2024-02-11,23829.333333333332,2602489742.222222
2024-02-12,24789.333333333332,2659051064.8888884
2024-02-13,23424.0,2207169536.0
2024-02-14,28098.666666666668,3170132472.8888893
2024-02-15,36789.333333333336,5498938595.555554
2024-02-16,39370.666666666664,5661979875.555556
2024-02-17,34306.666666666664,4158598648.88889
2024-02-18,32986.666666666664,3573067064.8888893
2024-02-19,39416.0,5287080384.0
2024-02-20,45925.333333333336,6980717198.222221
2024-02-21,57477.333333333336,10472520675.555555
2024-02-22,77469.33333333333,18418686968.888893
2024-02-23,74941.33333333333,16286764195.555555
2024-02-24,70034.66666666667,13867909966.222221
2024-02-25,67549.33333333333,12345092771.555555
2024-02-26,87925.33333333333,22549591950.222225
